	level_0	Unnamed: 0	index	sentence	label
135	145	145	151	What athlete makes the most money from sports merchandise sales ?	3
136	146	146	152	How many bends are there in a standard paper clip ?	5
137	147	147	153	Who discovered electricity ?	3
138	148	148	154	What part of your body contains the corpus callosum ?	2
139	149	149	155	Who was the first American in space ?	3
140	150	150	156	What two South American countries do n't border Brazil ?	4
141	152	152	158	What poem contains the line , `` grow old with me the best is yet to be '' .	2
142	153	153	159	What is a dental root canal ?	1
143	154	154	160	What war did the Wanna-Go-Home Riots occur after ?	2
144	155	155	161	What is the busiest air travel season ?	5
145	156	156	162	What 's the colored part of the eye called ?	2
146	157	157	163	What are hook worms ?	1
147	158	158	164	Where is the Rose Bowl played ?	4
148	159	159	165	Which Japanese car maker had its biggest percentage of sale in the domestic market ?	3
149	160	160	166	Who is the mayor of Marbella ?	3
150	161	161	167	What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?	4
151	162	162	168	In what year did Thatcher become prime minister ?	5
152	163	163	169	How many months does it take the moon to revolve around the Earth ?	5
153	164	164	170	Where are the 49 steps ?	4
154	165	165	171	In what year was De Gaulle elected president of France ?	5
155	166	166	173	Who directed `` Jaws '' ?	3
156	167	167	174	On what T.V. show could Tom Terrific be found ?	2
157	168	168	175	What Indian tribe is F Troop perpetually doing battle with ?	3
158	169	169	176	Where did Indian Pudding come from ?	1
159	171	171	178	How many colonies were involved in the American Revolution ?	5
160	172	172	179	What is the name of the city that Maurizio Pellegrin lives in ?	4
161	173	173	180	Where can I find pictorial directions on how to build a very simple treehouse ?	4
162	175	175	182	What is the name of the managing director of Apricot Computer ?	3
163	176	176	183	What is the occupation of Nicholas Cage ?	3
164	177	177	184	Why do horseshoes bring luck ?	1
165	178	178	185	What is the 401 , K , plan ?	1
166	179	179	186	What causes pneumonia ?	1
167	181	181	188	What does gringo mean ?	1
168	182	182	189	What country contains Africa 's northernmost point ?	4
169	183	183	190	What therapy attempts to elicit the `` primal scream '' ?	2
170	184	184	191	Where is the Kalahari desert ?	4
171	185	185	192	Which Ventura County police department seized the largest cocaine shipment in it 's history ?	3
172	186	186	193	What city is sometimes called Gotham ?	4
173	187	187	195	Who created Dennis the Menace ?	3
174	188	188	196	What dummy received an honorary degree from Northwestern University ?	3
175	189	189	197	When was the first Wall Street Journal published ?	5
176	190	190	198	What countries have the largest areas of forest ?	4
177	191	191	200	Name Alvin 's brothers	3
178	192	192	201	What is Eagle 's syndrome styloid process ?	1
179	193	193	202	How did Jayne Mansfield die ?	1
180	194	194	203	When did the royal wedding of Prince Andrew and Fergie take place ?	5
181	195	195	204	What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?	3
182	197	197	206	CNN began broadcasting in what year ?	5
183	198	198	207	What is a ball that hits the foul pole called ?	2
184	199	199	208	What makes hamburgers taste like steakburgers ?	1
185	200	200	209	Which company created the Internet browser Mosaic ?	3
186	201	201	210	What are the rites accompanying the circumcision of a newly born-child in Judaism called ?	2
187	202	202	211	What was the education system in the 1960 's ?	2
188	203	203	212	What South American city has the world 's highest commercial landing field ?	4
189	204	204	213	How can I find out which cities have cable-modem access ?	1
190	206	206	215	How many species of sharks are there ?	5
191	208	208	218	What shrubs can be planted that will be safe from deer ?	2
192	209	209	219	What organization 's offices were broken into at Watergate in 1972 ?	3
193	210	210	220	What is the design of the ship Titanic ?	1
194	211	211	222	Name a technique widely used to detect birth defects ?	2
195	212	212	223	What is the daily requirement of folic acid for an expectant mother ?	1
196	213	213	227	How do you correctly say the word ` qigong ' ?	1
197	214	214	228	When did beethoven die ?	5
198	216	216	230	What two European countries entered the War of American Independence against the British ?	4
199	218	218	232	What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?	3
200	219	219	233	What caused Harry Houdini 's death ?	1
201	220	220	234	Who was the mother of the man who would not be king , the duke of Windsor ?	3
202	221	221	235	How many revolutions does a standard LP make in three minutes ?	5
203	222	222	236	What is the name of the tallest mountain in the world ?	4
204	224	224	238	What 's the slowest Olympic swimming stroke ?	2
205	225	225	239	What was the name of the first Russian astronaut to do a spacewalk ?	3
206	226	226	240	What disease is transmitted by the Anopheles mosquito ?	2
207	227	227	241	What rum is so `` mixable '' it is a one-brand bar ?	2
208	228	228	242	How many South American countries have the letter Z in their names ?	5
209	229	229	243	What is the contents of proposition 98 ?	1
210	230	230	245	How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .	5
211	231	231	246	Who wrote NN DT NNP NNP '' ?	3
212	232	232	247	What is paracetamol ?	1
213	233	233	248	What are the powers and weaknesses of Green Lantern 's ring ?	1
214	234	234	249	Which mosquito 's bite draws blood , DT NN CC DT NN .	2
215	235	235	250	When was the first steel mill in the United States built ?	5
216	236	236	251	What diminutive American female gymnast stole the show at the 1984 Olympics ?	3
217	237	237	252	What is the origin of the name Katie ?	1
218	238	238	253	What schools in the Washington , DC NN NN VBP NN NN NN NN .	3
219	239	239	254	When did the Berlin Wall go up ?	5
220	240	240	255	Who is Terrence Malick ?	3
221	241	241	256	What instrument is Ray Charles best known for playing ?	2
222	242	242	257	What 's the meaning of the Latin battle cry : Ad arma , ad arma .	1
223	243	243	258	What is the mascot for Notre Dame University ?	2
224	244	244	259	What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?	4
225	245	245	260	When did Mount St. Helen last have a significant eruption ?	5
226	246	246	261	CNN is the abbreviation for what ?	0
227	247	247	262	When did World War I start ?	5
228	249	249	265	What European city do Nicois live in ?	4
229	250	250	266	How can I find out what year a Beanie Baby was introduced ?	1
230	251	251	268	To what does Microsoft 's Windows 3 owe its success ?	2
231	252	252	269	Who was President of Afghanistan in 1994 ?	3
232	253	253	270	What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?	2
233	254	254	271	What did brontosauruses eat ?	2
234	255	255	273	Who was the lead actress in the movie ` Sleepless in Seattle ' ?	3
235	256	256	274	Who was the 16th President of the United States ?	3
236	257	257	275	Who are the two sons of Ozzie and Harriet Nelson ?	3
237	258	258	276	What is molybdenum ?	1
238	259	259	279	When was the battle of the Somme fought ?	5
239	260	260	280	How many people did Randy Craft kill ?	5
240	261	261	281	What 's the official animal of Canada ?	2
241	262	262	282	When did Spielberg direct `` Jaws '' ?	5
242	263	263	283	What is the size of the largest akita ?	5
243	264	264	285	What is California 's capital ?	4
244	265	265	286	Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?	3
245	266	266	288	What European country is home to the beer-producing city of Budweis ?	4
246	268	268	290	What is the history of Valentine 's Day cards ?	1
247	269	269	291	Where was Christopher Columbus born ?	4
248	270	270	292	What do Italians call Florence ?	2
249	271	271	293	How do you get to the top of the Eiffel Tower ?	1
250	272	272	294	What does ` PSI ' stand for ?	0
251	273	273	295	What sea did the Romans call mare nostrum ?	4
252	274	274	296	What 's the term for a bet before cards are dealt ?	2
253	275	275	297	Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?	2
254	276	276	298	What city did the Flintstones live in ?	4
255	277	277	299	What is Latin for incompetent ?	2
256	278	278	300	What chemicals are used in lethal injection ?	2
257	279	279	301	What toy company is the world 's No.1 maker of female apparel ?	3
258	280	280	302	What board game does a `` wood-pusher '' play poorly ?	2
259	281	281	303	Which Doonesbury character was likely to turn into a werewolf ?	3
260	282	282	304	What is the abbreviation for micro ?	0
261	283	283	305	What are the 7 articles of the constitution ?	2
262	284	284	306	Who has won the most Super Bowls ?	3
263	285	285	307	What does NASDAQ stand for ?	0
264	286	286	308	What is BPH ?	0
265	287	287	309	What is the fastest commercial automobile that can be bought in the US ?	2
266	288	288	310	What stadium do the Miami Dolphins play their home games in ?	4
267	289	289	311	Who has the only speaking role in `` Silent Movie '' ?	3
268	290	290	312	Why is poop sometimes different colors ?	1
269	291	291	313	What was Einstein 's IQ ?	5
270	292	292	314	What day was Pearl Harbor attacked in 1942 ?	5
271	293	293	315	What girl 's name is `` Teddy '' an affectionate form of ?	3
272	294	294	316	What state is John F. Kennedy buried in ?	4
273	295	295	317	What is the best way to remove wallpaper ?	2
274	296	296	318	What U.S. state has an element named for it ?	4
275	297	297	319	What company tabulates the ballots in voting for the Academy Awards ?	3
276	298	298	320	How did the tradition of best man start ?	1
277	299	299	321	How many years ago did the ship Titanic sink ?	5
278	300	300	322	What is the deepest area of the Arctic Ocean ?	4
279	301	301	323	What are Halloween 's colors ?	2
280	302	302	324	How is silk screening done ?	1
281	303	303	325	What is the latitude and longitude of El Paso , Texas ?	5
282	304	304	326	Who made a boat out of gopher wood ?	3
283	305	305	327	Where can I find a `` Fifth Element '' screensaver ?	4
284	306	306	328	Which Bloom County resident wreaks havoc with a computer ?	3
285	307	307	329	How do you match a name to a social security number ?	1
286	308	308	330	How does a rainbow form ?	1
287	309	309	331	What is the normal resting heart rate of a healthy adult ?	5
288	310	310	332	What is the population of Ohio ?	5
289	311	311	333	How many calories are there in a Big Mac ?	5
290	312	312	334	Hazmat stands for what ?	1
291	313	313	335	What creature scares people in the film `` Jaws '' ?	2
292	314	314	336	What part did John Peter Zenger play in the deveopment of the newspaper in America ?	3
293	315	315	337	Who followed Caesar ?	3
294	316	316	339	Who was the first woman golfer to earn a million ?	3
295	317	317	340	What 's the tallest piece on a chessboard ?	2
296	318	318	342	Where can I buy movies on videotape online ?	4
297	319	319	343	Who does the advertizing for Frito-Lay ?	3
298	320	320	344	Who is the leading competitor of Trans Union Company ?	3
299	321	321	345	What product did Robert Conrad dare people to knock off his shoulder ?	2
300	322	322	346	Who invented the radio ?	3
301	323	323	347	What 's the American dollar equivalent for 8 pounds in the U.K. ?	5
302	324	324	348	What are the different approaches of systems analysis ?	2
303	325	325	349	How do doctors diagnose bone cancer ?	1
304	326	326	351	What is the speed of the Mississippi River ?	5
305	327	327	352	What are the developmental stages of a swimmer ?	2
306	328	328	353	What actor first portrayed James Bond ?	3
307	329	329	354	What ocean is the largest in the world ?	4
308	330	330	355	Who was the first American poet to win the Nobel Prize for literature , in 1948 ?	3
309	331	331	356	What year did Jack Nicklaus join the Professional Golfers Association tour ?	5
310	332	332	357	How many sonnets did Shakespeare write ?	5
311	333	333	358	What causes the redness in your cheeks when you blush ?	1
312	335	335	360	Who are the Challengers of the Unknown ?	3
313	336	336	361	Define the Pheonix Club ?	1
314	337	337	362	Which city did Christian Crusaders fight to recapture from the Muslims ?	4
315	338	338	363	What does it mean `` Rupee Depreciates '' ?	1
316	339	339	364	What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?	2
317	340	340	366	How successful is arometherapy ?	1
318	341	341	368	How does a copier work ?	1
319	342	342	370	Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?	3
320	343	343	371	What is Dudley Do-Right 's horse 's name ?	2
321	344	344	372	Who declared : `` I am down on whores and I shan 't stop ripping them '' ?	3
322	345	345	373	Where does chocolate come from ?	4
323	346	346	374	What TV game show once saw a contestant admit to picking his toes in the shower ?	2
324	348	348	376	Where can I find a case on Individuals with Disabilities Education Act of 1991 ?	4
325	349	349	379	How many Beatles ' records went #1 ?	5
326	350	350	380	Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?	3
327	351	351	381	What is the abbreviation of the company name ` General Motors ' ?	0
328	353	353	383	Who received the Will Rogers Award in 1989 ?	3
329	354	354	384	What is the function of RAM ?	1
330	355	355	385	What 's the closest G2 Spectrum Yellow Dwarf to Earth ?	4
331	356	356	386	How many equal angles are there in an isosceles triangle ?	5
332	357	357	387	What is the fear of cockroaches called ?	2
333	358	358	389	What is the use of a 24-hour clock instead of a 12-hour clock ?	1
334	359	359	390	What was the name of the lawyer who represented Randy Craft ?	3
335	360	360	391	What United States President had dreamed that he was assassinated ?	3
336	361	361	392	What film did Lee Marvin win the 1965 best actor Oscar for ?	2
337	362	362	393	Where is Basque country located ?	4
338	363	363	394	What product does `` Mrs. Olsen '' promote ?	2
339	364	364	395	What time of day did Emperor Hirohito die ?	5
340	365	365	396	What is dry ice ?	1
341	366	366	397	What 's the most powerful card in Euchre ?	2
342	367	367	398	What does `` intractable plantar keratoma '' mean ?	1
343	368	368	399	How many years did it take James Joyce to write Ulysses ?	5
344	369	369	401	What South Korean city is served by Kimpo International Airport ?	4
345	370	370	402	How many types of dogs ' tails are there - three	5
346	372	372	405	What is the difference between a generator and an alternator ?	1
347	373	373	406	How is energy created ?	1
348	374	374	407	What beer advertised that it had `` three rings '' ?	2
349	375	375	408	What is the quantity of American soldiers still unaccounted for from the Vietnam war ?	5
350	376	376	409	What golfing accessory was patented by George Grant on December 12	2
351	377	377	411	How is it correct to say ` qigong ' ?	1
352	378	378	413	Where was the Ligurian Republic , 1797-185 , ?	4
353	379	379	414	What country 's people are the top television watchers ?	4
354	380	380	415	When was the women 's suffrage amendment ratified ?	5
355	381	381	416	What Polynesian people inhabit New Zealand ?	3
356	382	382	417	What movie tour of the Roman empire features the admonition : `` Row well and live '' ?	2
357	383	383	418	What Nevada center has been dubbed The Biggest Little City in the World ?	4
358	384	384	419	What President lived at 219 North Delaware Street , Independence , Missouri ?	3
359	385	385	420	Give a reason for American Indians oftentimes dropping out of school .	1
360	386	386	421	Where must a soccer goalie stand to be permitted to handle the ball ?	4
361	387	387	422	What is the difference between classical conditioning and operant conditioning ?	1
362	388	388	423	In what U.S. state was the first woman governor elected ?	4
363	389	389	424	What are some interesting facts and information about dogsledding ?	1
364	390	390	425	What year did Hitler die ?	5
365	391	391	426	What famous model was married to Billy Joel ?	3
366	392	392	427	What kind of animal is Babar ?	2
367	393	393	428	What is Jane Goodall known for ?	1
368	394	394	429	What killed Bob Marley ?	2
369	395	395	430	How much money are Dumbo 's ears insured for ?	5
370	396	396	431	Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?	3
371	397	397	432	Who is Stein Eriksen ?	3
372	398	398	433	What does the name Billie mean ?	1
373	399	399	434	Who is the fastest swimmer in the world ?	3
374	400	400	436	Where is Procter & Gamble headquartered in the U.S. ?	4
375	401	401	438	What do bicornate animals have two of ?	2
376	402	402	439	What function does a community 's water tower serve ?	1
377	403	403	440	What is a fear of weakness ?	2
378	404	404	441	How many miles is it to Ohio from North Carolina ?	5
379	405	405	442	How much snow equals an inch of rain ?	5
380	406	406	443	What does G.M.T. stand for ?	0
381	407	407	445	What song served as the closing theme of The Johnny Cash Show ?	2
382	409	409	447	How do I tie dye clothes ?	1
383	410	410	448	When does the average teenager first have intercourse ?	5
384	412	412	450	What actor 's autobiography is titled All My Yesterdays ?	3
385	413	413	451	What Russian master spy lived in the U.S. under the name Emil Goldfus ?	3
386	414	414	452	Where 's the 19th hole on a golf course ?	4
387	415	415	453	What 's nature 's purpose for tornadoes ?	1
388	416	416	454	Who played the original Charlie 's Angels ?	3
389	417	417	455	Where can I find a person 's address from a telephone number ?	4
390	418	418	456	What English word comes from the Old French covrefeu , meaning cover fire ?	2
391	421	421	459	What makes popcorn pop ?	1
392	422	422	460	Who wrote The Night of the Iguana ?	3
393	423	423	461	Where does your hair grow the fastest ?	2
394	424	424	463	Who painted Mother and Child ?	3
395	425	425	464	What is the speed of the Mississippi River ?	5
396	426	426	465	In what area of the world was the Six Day War fought ?	4
397	427	427	466	What is the brightest star visible from Earth ?	4
398	428	428	467	What film marked Robert Redford 's directorial debut ?	2
399	429	429	468	What was Mao 's second name ?	3
400	430	430	469	What film or films has Jude Law appeared in ?	2
401	431	431	470	Where do hyenas live ?	4
402	432	432	472	What 's the most commonly-spoken language in Belgium ?	2
403	433	433	473	Who has more DNA - a man or a woman ?	3
404	434	434	474	What are Maid-Rites ?	1
405	435	435	475	What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?	2
406	436	436	477	How many referees work a soccer game ?	5
407	437	437	478	What cocktail do you concoct with whisky and sweet vermouth ?	2
408	438	438	479	How do you say `` fresh '' in Spanish ?	2
409	439	439	481	What caused the Lynmouth floods ?	1
410	440	440	482	When is the Tulip Festival in Michigan ?	5
411	441	441	484	What movie did Madilyn Kahn star in with Gene Wilder ?	2
412	442	442	485	What type of bridge is the Golden Gate Bridge ?	2
413	443	443	486	What dictator has the nickname `` El Maximo '' ?	3
414	444	444	487	What stereo manufacturer is `` Slightly ahead of its time '' ?	3
415	445	445	488	What U.S. city is The Queen of the Pacific ?	4
416	446	446	489	What TV sitcom character had the maiden name Ethel Potter ?	3
417	447	447	492	Where can I find out the top 1 singles ?	4
418	448	448	494	What Spanish artist painted Crucifixion ?	3
419	449	449	495	What is the Jewish bible called ?	2
420	451	451	497	What is a firewall ?	1
421	452	452	499	Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?	3
422	453	453	500	How long does it take for Spider-Man 's web to evaporate ?	5
423	454	454	501	Who was Randy Steven Craft 's lawyer ?	3
424	455	455	502	What was known as the Spice Island ?	4
425	456	456	503	Who was the first host of Person to Person ?	3
426	457	457	504	Name the Ranger who was always after Yogi Bear .	3
427	458	458	505	What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?	2
428	459	459	506	What does the Statue of Liberty wear on her feet ?	2
429	460	460	507	Who is the superstar in rent-a-cars ?	3
430	461	461	508	McCarren Airport is located in what city ?	4
431	463	463	510	What was the name of Betty Boop 's dog ?	2
432	464	464	511	What fraction of a beaver 's life is spent swimming ?	5
433	465	465	512	What was the Bridge of San Luis Rey made of ?	2
434	466	466	513	What do economists do ?	1
435	467	467	514	What country has the largest sheep population ?	4
436	468	468	516	What country is the world 's largest importer of cognac ?	4
437	469	469	517	How many years is Johnnie Walker Black Label aged ?	5
438	470	470	518	What does SIDS stand for ?	0
439	471	471	519	What is Grenada 's main commodity export ?	2
440	472	472	520	How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?	5
441	473	473	521	What makes a clitoris sensitive ?	1
442	474	474	522	What country has the most time zones , with 11 ?	4
443	475	475	524	Who is the president of Stanford University ?	3
444	476	476	525	Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?	3
445	477	477	526	What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?	2
446	478	478	527	What city is Logan Airport in ?	4
447	479	479	529	How many innings are there in a regulation softball game ?	5
448	480	480	530	When did CNN go on the air ?	5
449	481	481	531	What is the largest city on the Great Lakes ?	4
450	482	482	532	What is the telephone number for the University of Kentucky ?	5
451	483	483	533	Who invented baseball ?	3
452	484	484	534	How many wives did Brigham Young have ?	5
453	485	485	535	What product on the market is good for hiding facial scars ?	2
454	486	486	536	How long is the Coney Island boardwalk ?	5
455	487	487	537	What city gained renown for its pea-soup fogs ?	4
456	488	488	538	What does `` Janelle '' mean ?	1
457	489	489	539	How do I get another city 's newspaper ?	1
458	490	490	540	Name a movie about the Sioux Indians starring Kevin Costner .	2
459	491	491	542	What are the distinct physical characterstics of the Arabian horse ?	1
460	492	492	543	What is a fear of thunder ?	2
461	493	493	544	What animal has killed the most people ?	2
462	494	494	545	How many colleges are in Wyoming ?	5
463	495	495	546	What Russian seaport has a name meaning `` Lord of the East '' ?	4
464	496	496	549	What kind of file has the extension .dbf ?	2
465	497	497	550	When did Muhammad live ?	5
466	498	498	551	What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?	2
467	499	499	554	How do I stop background noise in a car stereo ?	1
468	500	500	555	Where do people mountain climb in Nepal ?	4
469	501	501	556	What is the best college in the country ?	3
470	502	502	557	What is viscosity ?	1
471	503	503	559	What are the Nordic nations ?	4
472	504	504	560	Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?	4
473	505	505	561	What U.S. state borders Illinois to the north ?	4
474	506	506	562	Name a film in which Jude Law acted .	2
475	507	507	563	What is the temperature for baking Peachy Oat Muffins ?	5
476	508	508	564	What is a fear of bees ?	2
477	509	509	565	What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?	2
478	510	510	566	What is a green bog ?	1
479	511	511	567	Where did the myth of Santa Claus originate ?	4
480	512	512	568	What does a chairbound basophobic fear ?	2
481	513	513	570	What wrestling star became `` The Incredible Hulk '' ?	3
482	515	515	574	What 's an auberge in France ?	1
483	516	516	575	Who was the star of the 1965 Broadway hit Golden Boy ?	3
484	517	517	576	Where is Procter & Gamble based in the U.S. ?	4
