	og_sentence	label	aug_sentence
102	What are the world 's four oceans ?	4	Can you name the four oceans of the world?
103	What 's the only work by Michelangelo that bears his signature ?	2	Which artwork by Michelangelo bears his signature?
104	In what medium is Stuart Hamblen considered to be the first singing cowboy ?	2	In which artistic medium is Stuart Hamblen recognized as the pioneer of singing cowboys?
105	How much money does a back injury lawsuit get ?	5	What is the typical compensation in a lawsuit related to a back injury?
106	What 's the common name for acetylsalicylic acid ?	2	What is the commonly known name for acetylsalicylic acid?
107	What does the Georgetown `` Hoya '' mean ?	1	"What is the meaning behind the term ""Hoya"" in Georgetown?"
108	Where can I find a list of `` classic '' books 5th and 6th graders should read ?	4	"Where can I locate a compilation of ""classic"" books recommended for 5th and 6th graders?"
109	Which two products use a tiger as their symbol ?	2	Which two products utilize a tiger as their symbol?
110	How is the election of a new Pope announced to the world ?	1	What is the method used to publicly announce the election of a new Pope?
111	How long does it take for your blood to make one complete trip through the body ?	5	How much time does it require for your blood to complete a full circulation throughout your body?
112	How do chickens have baby chicks ?	1	What is the process by which chickens give birth to baby chicks?
113	What is the historical relationship of Catholic Church and bingo ?	1	What is the historical connection between the Catholic Church and the game of bingo?
114	How was the element calcium named ?	1	How was the element calcium given its name?
115	What crooner joined The Andrews Sisters for Pistol Packin Mama ?	3	"Which popular singer collaborated with The Andrews Sisters for the song ""Pistol Packin Mama""?"
116	When did the Bounty mutiny take place ?	5	During which period did the mutiny on the Bounty occur?
117	What novel inspired the movie BladeRunner ?	2	Which novel served as the inspiration for the film BladeRunner?
118	What is a transistor ?	1	What is the definition or description of a transistor?
119	What is a film starring Jude Law ?	2	Can you recommend a movie featuring Jude Law in a prominent role?
120	What are the most common elements in the Earth 's crust ?	2	Which elements are the most abundant in the Earth's crust?
121	How much would it cost to purchase a 2-foot-square party tent , with sides , ?	5	What would be the approximate cost of purchasing a party tent measuring 2 feet in each dimension, including the sides?
122	What actress has received the most Oscar nominations ?	3	Which actress has garnered the highest number of Oscar nominations?
123	What is gymnophobia ?	1	"What does the term ""gymnophobia"" refer to?"
124	How many years do fossils take to form ?	5	How long does it typically take for fossils to form?
125	Where is the Orinoco ?	4	In which location can the Orinoco River be found?
126	What was the name of the `` Little Rascals '' dog ?	2	"What was the name of the canine character in the ""Little Rascals"" series?"
127	What city boasts Penn 's Landing , on the banks of the Delaware river ?	4	Which city is known for Penn's Landing, situated along the banks of the Delaware River?
128	What Broadway musical was inspired by Cervantes 's Don Quixote ?	2	Which Broadway musical drew inspiration from Cervantes' novel, Don Quixote?
129	What is the origin of the word , JJ .	1	"What is the etymology or linguistic origin of the word ""JJ""?"
130	How many hostages were killed in the Entebbe raid ?	5	What was the number of hostages who lost their lives during the Entebbe raid?
131	How you can raise your IQ ?	1	What are some methods to enhance or improve your IQ?
132	What does INRI stand for when used on Jesus ' cross ?	0	When the abbreviation INRI is used on Jesus' cross, what does it stand for?
133	Who produces Spumante ?	3	Which entity or company is responsible for producing Spumante?
134	Who founded the People 's Temple Commune ?	3	Who is the founder of the People's Temple Commune?
135	What athlete makes the most money from sports merchandise sales ?	3	Which athlete generates the highest earnings from sports merchandise sales?
136	How many bends are there in a standard paper clip ?	5	How many bends are typically found in a standard paper clip?
137	Who discovered electricity ?	3	Who is credited with the discovery of electricity?
138	What part of your body contains the corpus callosum ?	2	Which part of your body houses the corpus callosum?
139	Who was the first American in space ?	3	Who was the initial American to venture into space?
140	What two South American countries do n't border Brazil ?	4	Which two South American countries do not share a border with Brazil?
141	What poem contains the line , `` grow old with me the best is yet to be '' .	2	"In which poem can the line ""grow old with me, the best is yet to be"" be found?"
142	What is a dental root canal ?	1	What is the definition or explanation of a dental root canal?
143	What war did the Wanna-Go-Home Riots occur after ?	2	After which war did the Wanna-Go-Home Riots take place?
144	What is the busiest air travel season ?	5	Which period is considered the busiest for air travel?
145	What 's the colored part of the eye called ?	2	What is the term for the colored portion of the eye?
146	What are hook worms ?	1	What are hookworms and what is their nature?
147	Where is the Rose Bowl played ?	4	Where is the location of the Rose Bowl game?
148	Which Japanese car maker had its biggest percentage of sale in the domestic market ?	3	Among Japanese car manufacturers, which company achieved its highest percentage of sales in the domestic market?
149	Who is the mayor of Marbella ?	3	Who currently serves as the mayor of Marbella?
150	What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?	4	What is the name of the sun-drenched valley, stretching 14 miles wide, located just north of the Mojave Desert?
151	In what year did Thatcher become prime minister ?	5	During which year did Margaret Thatcher assume the position of prime minister?
152	How many months does it take the moon to revolve around the Earth ?	5	How many months does it take for the moon to complete one orbit around the Earth?
153	Where are the 49 steps ?	4	What is the location of the 49 steps?
154	In what year was De Gaulle elected president of France ?	5	In which year was Charles de Gaulle elected as the president of France?
155	Who directed `` Jaws '' ?	3	"Who served as the director of the film ""Jaws""?"
156	On what T.V. show could Tom Terrific be found ?	2	On which television show could one find the character Tom Terrific?
157	What Indian tribe is F Troop perpetually doing battle with ?	3	With which Native American tribe is F Troop frequently engaged in battle?
158	Where did Indian Pudding come from ?	1	What is the origin of Indian Pudding?
159	How many colonies were involved in the American Revolution ?	5	How many colonies were involved in the American Revolution?
160	What is the name of the city that Maurizio Pellegrin lives in ?	4	In which city does Maurizio Pellegrin reside?
161	Where can I find pictorial directions on how to build a very simple treehouse ?	4	Is there a resource available that provides step-by-step visual instructions for constructing a basic treehouse?
162	What is the name of the managing director of Apricot Computer ?	3	Who currently holds the position of managing director at Apricot Computer?
163	What is the occupation of Nicholas Cage ?	3	What is Nicholas Cage's profession or occupation?
164	Why do horseshoes bring luck ?	1	What is the belief behind horseshoes being associated with good luck?
165	What is the 401 , K , plan ?	1	Can you explain the concept of a 401(k) plan?
166	What causes pneumonia ?	1	What are the causes of pneumonia?
167	What does gringo mean ?	1	"What is the definition or meaning of the term ""gringo""?"
168	What country contains Africa 's northernmost point ?	4	Which country in Africa contains the northernmost point of the continent?
169	What therapy attempts to elicit the `` primal scream '' ?	2	"Which therapeutic approach aims to evoke the phenomenon known as the ""primal scream""?"
170	Where is the Kalahari desert ?	4	In which location can the Kalahari Desert be found?
171	Which Ventura County police department seized the largest cocaine shipment in it 's history ?	3	Which police department in Ventura County confiscated the largest-ever cocaine shipment in its history?
172	What city is sometimes called Gotham ?	4	What is the alternate name for a city that is sometimes referred to as Gotham?
173	Who created Dennis the Menace ?	3	Who is the creator of the character Dennis the Menace?
174	What dummy received an honorary degree from Northwestern University ?	3	Which ventriloquist's dummy was honored with a degree from Northwestern University?
175	When was the first Wall Street Journal published ?	5	During which year was the inaugural publication of the Wall Street Journal?
176	What countries have the largest areas of forest ?	4	Which countries possess the largest forested areas in terms of land size?
177	Name Alvin 's brothers	3	Please provide the names of Alvin's siblings.
178	What is Eagle 's syndrome styloid process ?	1	What is the definition or description of Eagle's syndrome related to the styloid process?
179	How did Jayne Mansfield die ?	1	What was the cause of Jayne Mansfield's death?
180	When did the royal wedding of Prince Andrew and Fergie take place ?	5	During which period did the royal wedding of Prince Andrew and Fergie occur?
181	What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?	3	"Which actor delivered the line ""Either he's dead or my watch has stopped"" in the film A Day at the Races?"
182	CNN began broadcasting in what year ?	5	In which year did CNN commence its broadcasting operations?
183	What is a ball that hits the foul pole called ?	2	What is the term for a ball that hits the foul pole?
184	What makes hamburgers taste like steakburgers ?	1	What is the ingredient or method that gives hamburgers a taste resembling steakburgers?
185	Which company created the Internet browser Mosaic ?	3	Which company is credited with creating the Internet browser Mosaic?
186	What are the rites accompanying the circumcision of a newly born-child in Judaism called ?	2	What is the name for the ceremonial practices that accompany the circumcision of a newborn in Judaism?
187	What was the education system in the 1960 's ?	2	What characterized the education system during the 1960s?
188	What South American city has the world 's highest commercial landing field ?	4	Which South American city houses the world's highest commercial landing field?
189	How can I find out which cities have cable-modem access ?	1	How can I obtain information about cities that have access to cable modems?
190	How many species of sharks are there ?	5	How many different shark species exist in total?
191	What shrubs can be planted that will be safe from deer ?	2	Which types of shrubs can be planted to ensure they remain unharmed by deer?
192	What organization 's offices were broken into at Watergate in 1972 ?	3	Which organization had its offices burglarized during the Watergate scandal in 1972?
193	What is the design of the ship Titanic ?	1	What was the architectural design of the Titanic ship?
194	Name a technique widely used to detect birth defects ?	2	Provide the name of a widely used technique for detecting birth defects.
195	What is the daily requirement of folic acid for an expectant mother ?	1	What is the recommended daily intake of folic acid for an expectant mother?
196	How do you correctly say the word ` qigong ' ?	1	"How should the word ""qigong"" be pronounced accurately?"
197	When did beethoven die ?	5	During which year did Beethoven pass away?
198	What two European countries entered the War of American Independence against the British ?	4	Which two European countries sided with the American colonies during the War of American Independence against the British?
199	What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?	3	Which Russian composer gained fame and fortune from his Prelude in C Sharp Minor?
200	What caused Harry Houdini 's death ?	1	What was the cause of Harry Houdini's death?
201	Who was the mother of the man who would not be king , the duke of Windsor ?	3	Who was the mother of the Duke of Windsor, the man who declined the opportunity to become king?
202	How many revolutions does a standard LP make in three minutes ?	5	How many rotations does a standard LP vinyl record complete within a three-minute timeframe?
203	What is the name of the tallest mountain in the world ?	4	What is the designated name of the tallest mountain on Earth?
204	What 's the slowest Olympic swimming stroke ?	2	Which swimming stroke is recognized as the slowest in Olympic competitions?
205	What was the name of the first Russian astronaut to do a spacewalk ?	3	What was the name of the first Russian astronaut to perform a spacewalk?
206	What disease is transmitted by the Anopheles mosquito ?	2	Which disease is transmitted by the Anopheles mosquito?
207	What rum is so `` mixable '' it is a one-brand bar ?	2	Which brand of rum is highly regarded for its versatility in mixing cocktails, to the extent of being a sole-brand option for bars?
208	How many South American countries have the letter Z in their names ?	5	Among the South American countries, how many have the letter Z in their names?
209	What is the contents of proposition 98 ?	1	What does proposition 98 entail or consist of?
210	How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .	5	How many individuals on the ground lost their lives in the bombing of Pan Am Flight 103 over Lockerbie, Scotland, on December 21, CD?
211	Who wrote NN DT NNP NNP '' ?	3	"Who is the author of the book titled ""NN DT NNP NNP""?"
212	What is paracetamol ?	1	What is the definition or nature of paracetamol?
213	What are the powers and weaknesses of Green Lantern 's ring ?	1	What abilities and vulnerabilities does Green Lantern's ring possess?
214	Which mosquito 's bite draws blood , DT NN CC DT NN .	2	Which species of mosquito's bite results in drawing blood, DT NN CC DT NN?
215	When was the first steel mill in the United States built ?	5	During which period was the first steel mill established in the United States?
216	What diminutive American female gymnast stole the show at the 1984 Olympics ?	3	Which petite female gymnast from America stole the spotlight at the 1984 Olympics?
217	What is the origin of the name Katie ?	1	What is the etymological background or origin of the name Katie?
218	What schools in the Washington , DC NN NN VBP NN NN NN NN .	3	Can you provide information on the schools located in Washington, DC?
219	When did the Berlin Wall go up ?	5	When was the construction of the Berlin Wall initiated?
220	Who is Terrence Malick ?	3	Who is Terrence Malick in the realm of film?
221	What instrument is Ray Charles best known for playing ?	2	Which musical instrument is Ray Charles most renowned for playing?
222	What 's the meaning of the Latin battle cry : Ad arma , ad arma .	1	"What is the translation or significance of the Latin battle cry: ""Ad arma, ad arma""?"
223	What is the mascot for Notre Dame University ?	2	Which character serves as the mascot for Notre Dame University?
224	What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?	4	Which Las Vegas hotel experienced a devastating fire in November 1980, resulting in the loss of 84 lives?
225	When did Mount St. Helen last have a significant eruption ?	5	When was the most recent notable eruption of Mount St. Helens?
226	CNN is the abbreviation for what ?	0	"What does the abbreviation ""CNN"" stand for?"
227	When did World War I start ?	5	During which year did World War I commence?
228	What European city do Nicois live in ?	4	In which European city do the Nicois population reside?
229	How can I find out what year a Beanie Baby was introduced ?	1	How can I determine the year of introduction for a specific Beanie Baby?
230	To what does Microsoft 's Windows 3 owe its success ?	2	What factors contributed to the success of Microsoft's Windows 3 operating system?
231	Who was President of Afghanistan in 1994 ?	3	During the year 1994, who held the position of President in Afghanistan?
232	What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?	2	Aside from pregnancy, weight loss, and weight lifting, what other causes can lead to the development of stretch marks?
233	What did brontosauruses eat ?	2	What was the typical diet of brontosauruses?
234	Who was the lead actress in the movie ` Sleepless in Seattle ' ?	3	"Which actress played the lead role in the film ""Sleepless in Seattle""?"
235	Who was the 16th President of the United States ?	3	Who served as the 16th President of the United States?
236	Who are the two sons of Ozzie and Harriet Nelson ?	3	Who are the two sons of Ozzie and Harriet Nelson?
237	What is molybdenum ?	1	What is the definition or description of molybdenum?
238	When was the battle of the Somme fought ?	5	In which period was the Battle of the Somme fought?
239	How many people did Randy Craft kill ?	5	How many individuals did Randy Craft murder?
240	What 's the official animal of Canada ?	2	What animal holds the official designation as Canada's national symbol?
241	When did Spielberg direct `` Jaws '' ?	5	"During which period did Steven Spielberg serve as the director for the film ""Jaws""?"
242	What is the size of the largest akita ?	5	What is the maximum size recorded for an akita breed?
243	What is California 's capital ?	4	Which city serves as the capital of California?
244	Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?	3	"Who authored the book titled ""The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage"" that focuses on computer hackers?"
245	What European country is home to the beer-producing city of Budweis ?	4	Which European country is known for housing the city of Budweis, renowned for its beer production?
246	What is the history of Valentine 's Day cards ?	1	What is the background or historical development of Valentine's Day cards?
247	Where was Christopher Columbus born ?	4	In which place was Christopher Columbus born?
248	What do Italians call Florence ?	2	What is the Italian name for the city of Florence?
249	How do you get to the top of the Eiffel Tower ?	1	What is the recommended method for reaching the summit of the Eiffel Tower?
250	What does ` PSI ' stand for ?	0	"What is the expanded meaning or definition of the abbreviation ""PSI""?"
251	What sea did the Romans call mare nostrum ?	4	"By what name did the Romans refer to the sea known as ""mare nostrum""?"
252	What 's the term for a bet before cards are dealt ?	2	What is the specific term used to describe a bet placed prior to dealing cards?
253	Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?	2	According to Genesis 1:2:22, which entity came first - the chicken or the egg?
254	What city did the Flintstones live in ?	4	In which city did the fictional characters of the Flintstones reside?
255	What is Latin for incompetent ?	2	"What is the Latin equivalent for the word ""incompetent""?"
256	What chemicals are used in lethal injection ?	2	Which substances are typically utilized in the process of lethal injection?
257	What toy company is the world 's No.1 maker of female apparel ?	3	Which toy company holds the position of the world's top manufacturer of female apparel?
258	What board game does a `` wood-pusher '' play poorly ?	2	"In which board game would a player referred to as a ""wood-pusher"" exhibit poor performance?"
259	Which Doonesbury character was likely to turn into a werewolf ?	3	Among the characters in the Doonesbury comic strip, which one had the potential to transform into a werewolf?
260	What is the abbreviation for micro ?	0	"What is the short form or acronym used to represent the term ""micro""?"
261	What are the 7 articles of the constitution ?	2	Can you list the seven articles that comprise the constitution?
262	Who has won the most Super Bowls ?	3	Which individual or team holds the record for winning the highest number of Super Bowls?
263	What does NASDAQ stand for ?	0	What does the abbreviation NASDAQ stand for?
264	What is BPH ?	0	What is the definition or meaning of BPH?
265	What is the fastest commercial automobile that can be bought in the US ?	2	Which commercially available vehicle in the United States holds the title for being the fastest?
266	What stadium do the Miami Dolphins play their home games in ?	4	In which stadium do the Miami Dolphins host their home games?
267	Who has the only speaking role in `` Silent Movie '' ?	3	"Among the cast of the film ""Silent Movie,"" who has the sole speaking role?"
268	Why is poop sometimes different colors ?	1	What factors contribute to the variations in color that feces can display?
269	What was Einstein 's IQ ?	5	What was the estimated IQ score of Albert Einstein?
270	What day was Pearl Harbor attacked in 1942 ?	5	On which specific date in 1942 was the attack on Pearl Harbor carried out?
271	What girl 's name is `` Teddy '' an affectionate form of ?	3	"For which girl's name is ""Teddy"" commonly used as an affectionate form?"
272	What state is John F. Kennedy buried in ?	4	In which state is John F. Kennedy interred or buried?
273	What is the best way to remove wallpaper ?	2	What is considered the most effective method for wallpaper removal?
274	What U.S. state has an element named for it ?	4	Which U.S. state has an element named after it?
275	What company tabulates the ballots in voting for the Academy Awards ?	3	Which company is responsible for tallying the votes in the Academy Awards?
276	How did the tradition of best man start ?	1	What is the origin or history behind the tradition of the best man in weddings?
277	How many years ago did the ship Titanic sink ?	5	How many years have passed since the sinking of the Titanic?
278	What is the deepest area of the Arctic Ocean ?	4	What is the deepest region within the Arctic Ocean?
279	What are Halloween 's colors ?	2	Which colors are associated with the celebration of Halloween?
280	How is silk screening done ?	1	What is the process for conducting silk screening?
281	What is the latitude and longitude of El Paso , Texas ?	5	Can you provide the specific coordinates (latitude and longitude) for El Paso, Texas?
282	Who made a boat out of gopher wood ?	3	Who constructed a boat using gopher wood?
283	Where can I find a `` Fifth Element '' screensaver ?	4	"Where can I locate a screensaver featuring the film ""Fifth Element""?"
284	Which Bloom County resident wreaks havoc with a computer ?	3	Which resident of Bloom County causes chaos with a computer?
285	How do you match a name to a social security number ?	1	What is the procedure for linking a name to a corresponding social security number?
286	How does a rainbow form ?	1	How does the phenomenon of a rainbow come into existence?
287	What is the normal resting heart rate of a healthy adult ?	5	What is the typical resting heart rate for a healthy adult?
288	What is the population of Ohio ?	5	What is the estimated population of Ohio?
289	How many calories are there in a Big Mac ?	5	How many calories are contained in a Big Mac burger?
290	Hazmat stands for what ?	1	What does the acronym Hazmat represent or stand for?
291	What creature scares people in the film `` Jaws '' ?	2	"Which creature instills fear in people within the film ""Jaws""?"
292	What part did John Peter Zenger play in the deveopment of the newspaper in America ?	3	What role did John Peter Zenger play in the evolution of newspapers in America?
293	Who followed Caesar ?	3	Who succeeded or followed Caesar in leadership?
294	Who was the first woman golfer to earn a million ?	3	Who became the first female golfer to accumulate a million in earnings?
295	What 's the tallest piece on a chessboard ?	2	Which chess piece holds the distinction of being the tallest or highest?
296	Where can I buy movies on videotape online ?	4	Where can I make purchases of movies on videotape through online platforms?
297	Who does the advertizing for Frito-Lay ?	3	Which entity handles the advertising campaigns for Frito-Lay?
298	Who is the leading competitor of Trans Union Company ?	3	Who serves as the primary competitor to the Trans Union Company?
299	What product did Robert Conrad dare people to knock off his shoulder ?	2	What product did Robert Conrad famously challenge people to knock off his shoulder?
300	Who invented the radio ?	3	Who is credited with the invention of the radio?
301	What 's the American dollar equivalent for 8 pounds in the U.K. ?	5	How much is 8 pounds equivalent to in American dollars?
302	What are the different approaches of systems analysis ?	2	What are the various methods or approaches used in systems analysis?
303	How do doctors diagnose bone cancer ?	1	What diagnostic techniques do doctors employ to identify bone cancer?
304	What is the speed of the Mississippi River ?	5	What is the velocity or speed at which the Mississippi River flows?
305	What are the developmental stages of a swimmer ?	2	What are the different stages of development for a swimmer?
306	What actor first portrayed James Bond ?	3	Which actor portrayed the character James Bond for the first time?
307	What ocean is the largest in the world ?	4	Which ocean holds the distinction of being the largest in the world?
308	Who was the first American poet to win the Nobel Prize for literature , in 1948 ?	3	Who became the first American poet to receive the Nobel Prize in Literature in 1948?
309	What year did Jack Nicklaus join the Professional Golfers Association tour ?	5	During which year did Jack Nicklaus commence his participation in the Professional Golfers Association (PGA) tour?
310	How many sonnets did Shakespeare write ?	5	How many sonnets did William Shakespeare write in total?
311	What causes the redness in your cheeks when you blush ?	1	What is the reason behind the reddening of cheeks when one experiences blushing?
