	og_sentence	label	aug_sentence
21	a slick , engrossing melodrama .	1	An impeccably executed and captivating melodrama.
22	a wretched movie that reduces the second world war to one man 's quest to find an old flame .	0	It's a dreadful film that reduces World War II to a single man's pursuit of a past love interest.
23	will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .	0	This movie will likely be well-received in European markets, where Mr. Besson has established himself as a reputable filmmaker, and in Asia, where Ms. Shu is highly regarded. However, American audiences might find it familiar and lacking in emotional release.
24	lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .	0	It lacks the originality of the first installment and suffers from an overly convoluted plot that extends the duration beyond a child's attention span and an adult's patience.
25	the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .	1	The Santa Clause 2 proves to be a more streamlined and meticulously planned sequel than the original could ever aspire to be.
26	the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .	1	The film evokes a moody, immersive, chilling, and heartwarming experience all at once—a suspenseful and unpredictable cat-and-mouse thriller.
27	too bad .	0	What a disappointment.
28	a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .	1	The movie has a strong and captivating opening sequence, and the visually stunning swinging motions of the Amazing Spider-Man amidst skyscrapers are absolutely breathtaking.
29	gooding offers a desperately ingratiating performance .	0	Gooding delivers an excessively ingratiating performance.
30	a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .	0	It's a well-intentioned attempt, but the actor's eccentricities weigh it down, preventing the genuine emotional core from being accessible to a significant degree.
31	a fun ride .	1	It's an enjoyable and thrilling experience.
32	an edgy thriller that delivers a surprising punch .	1	This intense thriller delivers an unexpected impact.
33	` what 's the russian word for wow !? '	1	"""What's the Russian equivalent of 'wow!'""?"
34	otto-sallies has a real filmmaker 's eye .	1	Otto-Sallies demonstrates a true filmmaker's artistic vision.
35	lurid and less than lucid work .	0	It's a sensational and somewhat confusing piece of work.
36	with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .	0	With its constant stream of characters who are always under the influence, Margarita feels like a prolonged state of haziness that's hard to shake off.
37	i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .	0	I could sense the screenwriter's presence throughout, constantly typing away on this screenplay.
38	overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .	1	Overall, Cletis Tout is a hilarious comedy that sparks the imagination and tickles the funny bone.
39	you live the mood rather than savour the story .	1	Instead of savoring the storyline, you immerse yourself in the atmosphere and ambiance.
40	the movie is so thoughtlessly assembled .	1	The movie is carelessly put together without much thought.
41	some body is a shaky , uncertain film that nevertheless touches a few raw nerves .	1	Some Body is an unsteady and uncertain film, yet it manages to touch upon a few sensitive topics.
42	it 's a very sincere work , but it would be better as a diary or documentary .	1	It's a genuinely sincere piece of work, but it would be better suited as a personal diary or documentary.
43	while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .	0	While American Adobo has good intentions and captures the essence of its subject matter, its execution feels scattered and even flighty.
44	unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .	1	The story unfolds with such an intense and immersive immediacy that when the gunfire begins, your natural instinct is to take cover.
45	and it 's a lousy one at that .	0	Moreover, it's a poorly made film.
46	it 's not too fast and not too slow .	1	The pacing of the film is just right, neither too fast nor too slow.
47	it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .	1	It's an enjoyable movie, and the effects, magnified to the scale of a downtown hotel, will practically transport you to outer space.
48	it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .	1	The film is uncompromising in its portrayal and remains nonjudgmental, clearly illustrating that a prostitute can experience as much loneliness and vulnerability as any of their clients.
49	compellingly watchable .	1	It's captivating and keeps you engaged throughout.
50	despite some comic sparks , welcome to collinwood never catches fire .	0	Despite a few comedic moments, Welcome to Collinwood fails to ignite excitement.
51	though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .	1	While Jackson doesn't always successfully integrate foreground characters into the incredibly rich setting, it must be acknowledged that he is an imaginative filmmaker who can grasp the bigger picture.
52	not only does spider-man deliver , but i suspect it might deliver again and again .	1	Spider-Man not only meets expectations but has the potential to exceed them repeatedly.
53	it 's worth taking the kids to .	1	It's a movie that is worth bringing the kids to.
54	without shakespeare 's eloquent language , the update is dreary and sluggish .	0	Without Shakespeare's eloquent language, the modernized version becomes dull and sluggish.
55	dense , exhilarating documentary .	1	This documentary is dense and exhilarating.
56	... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .	0	It feels as if there is a tight leash around your neck, allowing director Nick Cassavetes to forcefully manipulate your emotions at will.
57	poignant if familiar story of a young person suspended between two cultures .	1	It's a moving story, though familiar, about a young individual caught between two cultures.
58	methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .	1	Secret Ballot is methodical, measured, and subtly monotonous in its comedic approach. It purposefully simplifies the narrative, and that's why it manages to leave a lasting impact on the viewer.
59	though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .	1	While it may lean slightly towards the predictable side of arthouse cinema with its poetic symbolism, Heaven proves to be a successful collaboration between two directors with compatible sensibilities.
60	superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .	1	Mendes masterfully captures stunning visuals and orchestrates a series of captivating scenes that mainstream audiences rarely encounter.
61	a metaphor for a modern-day urban china searching for its identity .	1	It serves as a metaphor for the modern-day urban landscape of China, as it searches for its own identity.
62	it 's a square , sentimental drama that satisfies , as comfort food often can .	1	It's a conventional and sentimental drama that offers a satisfying experience, much like comfort food often does.
63	the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .	1	The beautifully immersive Morvern Callar embodies a punk existentialism spirit. Director Ms. Ramsay and co-writer Liana Dognini have skillfully adapted Alan Warner's novel, which itself seemed like a response to Irvine Welsh's Trainspotting.
64	admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .	1	Fans of director Abel Ferrara will find relief in his latest film, R Xmas, as it represents a modest yet promising return to his previous form.
65	not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '	0	Throughout the frantic rush to save the day, I never truly became emotionally invested in the events. For me, it was simply a matter of indifference.
66	an ugly-duckling tale so hideously and clumsily told it feels accidental .	0	This poorly executed ugly-duckling story is so haphazardly and clumsily told that it almost feels accidental.
67	becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .	0	It becomes a confused mixture, failing to evoke both tearjerking emotions and thrilling suspense.
68	could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?	1	Could I have been more excited when I learned that Apollo 13 was going to be released in IMAX format?
69	this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .	1	This is an ambitious undertaking for a relatively inexperienced filmmaker, but strong performances, poetic elements, and captivating music help sustain its impact.
70	more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine	0	While the film effectively portrays historical events, it falls short in creating a complex and emotionally satisfying protagonist.
71	cho 's timing is priceless .	1	Cho's sense of timing is incredibly valuable and adds to the overall appeal.
72	criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .	1	The movie effortlessly incorporates criminal conspiracies and genuine romances across racial and cultural boundaries, making My Big Fat Greek Wedding seem like a drama about segregation.
73	there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .	1	It's commendable for a studio-produced film to avoid spoon-feeding easy answers to viewers.
74	what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .	1	What sets this film apart from typical romantic comedies is its surreal sense of humor and polished visual effects.
75	nicholson 's understated performance is wonderful .	1	Nicholson's subtly performed role is truly wonderful.
76	the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .	1	The filmmakers have a keen eye for visual aesthetics, but it's not always the most beautiful images that tell the most compelling stories.
77	it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .	0	It's unfortunate that Wallace, the writer of Gibson's Braveheart and the recent Pearl Harbor, has an overwhelming penchant for overly sentimental situations and dialogue.
78	jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .	0	Jackson shamefully meanders through this chaotic mess with an arrogant smirk, inexplicably dressed in a kilt and lugging a golf bag over his shoulder.
79	... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .	0	It's an intriguing oddity, but its fascination quickly fades after the initial ten minutes.
80	over and over again .	0	Repeatedly, again and again.
81	nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .	1	Nolan demonstrates his ability to match the skills of top filmmakers while directing a more conventionally structured, entertaining thriller without sacrificing his intellectual rigor or creative control.
82	this bond film goes off the beaten path , not necessarily for the better .	0	This James Bond film takes an unconventional path, but it doesn't necessarily improve upon the traditional formula.
83	... its solemn pretension prevents us from sharing the awe in which it holds itself .	0	Its self-important demeanor prevents us from sharing the sense of wonder it holds for itself.
84	the drama discloses almost nothing .	0	The drama reveals very little, offering minimal insight.
85	a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis .	0	It's a contrived creation built upon theoretical concepts, deception, and poorly developed hypotheses.
86	isabelle huppert excels as the enigmatic mika and anna mouglalis is a stunning new young talent in one of chabrol 's most intense psychological mysteries .	1	Isabelle Huppert delivers an outstanding performance as the enigmatic Mika, and Anna Mouglalis showcases her impressive talent in one of Chabrol's most intense psychological mysteries.
87	like its parade of predecessors , this halloween is a gory slash-fest .	1	Like its predecessors, this Halloween movie focuses on bloody and violent scenes.
88	perhaps the best sports movie i 've ever seen .	1	It's possible that this is the best sports film I've ever witnessed.
89	this pathetic junk is barely an hour long .	0	This utterly disappointing garbage barely extends to an hour in length.
90	ou 've got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .	1	It's refreshing to see a Disney film that emphasizes modesty and features a spirited and principled heroine like Jane.
91	this is a gorgeous film - vivid with color , music and life .	1	This film is visually stunning, bursting with vibrant colors, music, and vitality.
92	playing a role of almost bergmanesque intensity ... bisset is both convincing and radiant .	1	In a role that exudes intense emotions reminiscent of Bergman's style, Bisset delivers a compelling and radiant performance.
93	the trappings of i spy are so familiar you might as well be watching a rerun .	0	The elements of I Spy are so familiar that it feels like watching a repetitive episode.
94	it treats ana 's journey with honesty that is tragically rare in the depiction of young women in film .	1	It approaches Ana's journey with a level of honesty that is unfortunately rare in the portrayal of young women in movies.
95	leigh makes these lives count .	1	Leigh skillfully gives significance to these characters' lives.
96	ambitious , unsettling psychodrama that takes full , chilling advantage of its rough-around-the-edges , low-budget constraints .	1	This ambitious and unsettling psychodrama fully embraces its low-budget constraints to create a chilling experience.
97	the woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made allen 's romantic comedies so pertinent and enduring .	1	The influence of Woody Allen is evident in this girl-meets-girl love story, and what's even more reassuring is that the filmmakers genuinely comprehend the qualities that made Allen's romantic comedies relevant and enduring.
98	i could n't recommend this film more .	1	I highly recommend this film without any reservations.
99	an inexperienced director , mehta has much to learn .	0	As an inexperienced director, Mehta still has much to learn.
100	you can taste it , but there 's no fizz .	0	You can sense it, but it lacks the excitement and liveliness.
101	a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either .	0	It attempts to combine elements from Die Hard and Cliffhanger, but it falls far short of being as thrilling as either.
102	a moving tale of love and destruction in unexpected places , unexamined lives .	1	This is a poignant story that explores love and destruction in unexpected settings and unexamined lives.
103	it has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .	1	The film has several insightful moments that will be fondly remembered amidst the endless maze of movie-watching.
104	why ?	0	Why is that the case?
105	and that is where ararat went astray .	0	And that's where Ararat went wrong.
106	vincent gallo is right at home in this french shocker playing his usual bad boy weirdo role .	1	Vincent Gallo perfectly fits into his typical role as a rebellious and eccentric character in this French shocker.
107	clockstoppers is one of those crazy , mixed-up films that does n't know what it wants to be when it grows up .	0	Clockstoppers is one of those perplexing films that lacks a clear direction or identity.
108	sandra bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .	0	Despite Sandra Bullock downplaying her physical appearance, she carries some preconceived notions and struggles to fully embrace the weightier aspects of her troubled and determined role as a homicide detective.
109	it 's mostly a pleasure to watch .	1	For the most part, it's enjoyable to watch.
110	its spirit of iconoclastic abandon -- however canned -- makes for unexpectedly giddy viewing .	1	Despite its contrived nature, the rebellious and carefree spirit of the film creates an unexpectedly exhilarating viewing experience.
111	a kilted jackson is an unsettling sight , and indicative of his , if you will , out-of-kilter character , who rambles aimlessly through ill-conceived action pieces .	0	Seeing Jackson wearing a kilt is unsettling and reflects his offbeat character, who aimlessly meanders through poorly executed action sequences.
112	i did n't find much fascination in the swinging .	0	I didn't find the swinging aspect particularly captivating.
113	this is no `` waterboy ! ''	0	"This film is nothing like ""Waterboy!"""
114	but the nerve-raked acting , the crackle of lines , the impressive stagings of hardware , make for some robust and scary entertainment .	1	However, the intense performances, sharp dialogue, and impressive action sequences contribute to a robust and thrilling entertainment.
115	baby-faced renner is eerily convincing as this bland blank of a man with unimaginable demons within .	1	Renner, with his innocent appearance, delivers a chillingly convincing portrayal of a seemingly ordinary man harboring unimaginable demons.
116	the kind of primal storytelling that george lucas can only dream of .	1	It represents the kind of primal storytelling that George Lucas can only dream of achieving.
117	uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year .	1	It offers a sense of upliftment by showcasing the worst possibilities of humanity and stands among the year's best films.
118	the irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .	0	The scenes featuring the Irwins are fascinating, but as a whole, the movie is cheap and insulting to their daring feats.
119	it 's a frightful vanity film that , no doubt , pays off what debt miramax felt they owed to benigni .	0	It's a dreadful vanity project that serves as Miramax's attempt to repay a debt owed to Benigni, without any redeeming qualities.
120	he seems to want both , but succeeds in making neither .	0	He appears to desire both outcomes but fails to achieve either.
121	by turns fanciful , grisly and engagingly quixotic .	1	It alternates between imaginative, gruesome, and captivatingly idealistic.
122	the re-release of ron howard 's apollo 13 in the imax format proves absolutely that really , really , really good things can come in enormous packages .	1	The re-release of Ron Howard's Apollo 13 in IMAX format proves that exceptional experiences can come in massive packages.
123	i 've never seen -lrb- a remake -rrb- do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ...	0	I have never witnessed a remake that is as repugnant as Adam Sandler's new film, which shamelessly violates, exploits, and destroys Frank Capra's classic.
124	those who want to be jolted out of their gourd should drop everything and run to ichi .	1	Those seeking an electrifying experience should immediately rush to watch Ichi.
125	mr. deeds is , as comedy goes , very silly -- and in the best way .	1	Mr. Deeds, in terms of comedy, is undeniably silly—in the best possible way.
126	this amiable picture talks tough , but it 's all bluster -- in the end it 's as sweet as greenfingers ...	1	This amiable film puts on a tough facade, but ultimately it's all talk and no substance—it's as heartwarming as the movie Greenfingers.
127	my little eye is the best little `` horror '' movie i 've seen in years .	1	"My Little Eye is the finest ""horror"" film I've seen in years."
128	the movie is a negligible work of manipulation , an exploitation piece doing its usual worst to guilt-trip parents .	0	The movie is a negligible piece of manipulation, an exploitative work that employs its worst tactics to manipulate parents through guilt.
129	it may ... work as a jaunt down memory lane for teens and young adults who grew up on televised scooby-doo shows or reruns .	1	It might serve as a nostalgic journey for teenagers and young adults who grew up watching Scooby-Doo on TV or through reruns.
130	suffers from a flat script and a low budget .	0	It is plagued by a lackluster screenplay and limited financial resources.
131	the movie is well done , but slow .	0	The movie is skillfully made, but it suffers from a slow pacing.
132	the master of disguise is awful .	0	The Master of Disguise is exceptionally terrible.
133	the film is one of the year 's best .	1	This film stands out as one of the best of the year.
134	one of the year 's most weirdly engaging and unpredictable character pieces .	1	It is one of the most strangely captivating and unpredictable character-driven films of the year.
135	the direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .	0	The direction occasionally reaches a level of acceptable competence, but for the majority of the film, it is difficult to determine who is chasing whom or the underlying reasons.
136	the three leads produce adequate performances , but what 's missing from this material is any depth of feeling .	0	The three main actors deliver satisfactory performances, but the material lacks any emotional depth.
137	`` looking for leonard '' just seems to kinda sit in neutral , hoping for a stiff wind to blow it uphill or something .	0	"""Looking for Leonard"" seems to remain stagnant, awaiting a significant push or intervention to gain momentum."
138	the most surprising thing about this film is that they are actually releasing it into theaters .	0	The most surprising aspect of this film is that it is actually being released in theaters.
139	... one resurrection too many .	0	... One revival too many, pushing the boundaries of believability.
140	oh , look at that clever angle !	1	Wow, that's a clever perspective!
141	no , i hate it .	0	No, I despise it.
142	for a long time the film succeeds with its dark , delicate treatment of these characters and its unerring respect for them .	1	The film effectively portrays these characters with a dark and delicate approach, treating them with unwavering respect.
143	the casting of raymond j. barry as the ` assassin ' greatly enhances the quality of neil burger 's impressive fake documentary .	1	"The inclusion of Raymond J. Barry as the ""assassin"" significantly elevates the quality of Neil Burger's impressive faux documentary."
144	the film is like sitting in a downtown café , overhearing a bunch of typical late-twenty-somethings natter on about nothing , and desperately wishing you could change tables .	0	The movie feels like being stuck in a downtown café, overhearing a group of typical individuals in their late twenties engage in meaningless chatter, desperately wishing for a change of scenery.
145	the filmmakers want nothing else than to show us a good time , and in their cheap , b movie way , they succeed .	1	The filmmakers' sole intention is to provide us with an enjoyable experience, and in their inexpensive, B-movie style, they succeed.
146	a rollicking ride , with jaw-dropping action sequences , striking villains , a gorgeous color palette , astounding technology , stirring music and a boffo last hour that leads up to a strangely sinister happy ending .	1	It's an exhilarating journey, packed with astonishing action sequences, memorable villains, stunning visual aesthetics, impressive technology, stirring music, and a captivating final hour that leads to an oddly unsettling happy ending.
147	an hour and a half of joyful solo performance .	1	It's an hour and a half of pure delight delivered through a captivating solo performance.
148	contrived pastiche of caper clichés .	0	It's a contrived combination of clichéd heist elements.
149	a triumph , a film that hews out a world and carries us effortlessly from darkness to light .	1	It's a triumph, a film that creates an immersive world and effortlessly guides us from darkness to light.
150	steven soderbergh 's digital video experiment is a clever and cutting , quick and dirty look at modern living and movie life .	1	Steven Soderbergh's experiment with digital video is a clever and sharp examination of modern life and the filmmaking industry, presented in a fast-paced and unrefined manner.
151	kinnear 's performance is a career-defining revelation .	1	Kinnear's performance is a revelation that defines his career.
152	not only a reminder of how they used to make movies , but also how they sometimes still can be made .	1	It serves as a reminder of how movies used to be made and demonstrates that they can still be created in a similar fashion.
153	the dragons are the real stars of reign of fire and you wo n't be disappointed .	1	The dragons steal the spotlight in Reign of Fire, and they won't disappoint you.
154	if you 're over 25 , have an iq over 90 , and have a driver 's license , you should be able to find better entertainment .	0	If you're above the age of 25, possess an IQ higher than 90, and hold a driver's license, you should be able to find better entertainment elsewhere.
155	for devotees of french cinema , safe conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .	1	Safe Conduct is a treasure trove of period details that will delight enthusiasts of French cinema, like experiencing celluloid heaven.
156	scherfig , who has had a successful career in tv , tackles more than she can handle .	0	Scherfig, who has had a successful television career, takes on more than she can handle in this instance.
157	this sade is hardly a perverse , dangerous libertine and agitator -- which would have made for better drama .	0	This portrayal of Sade lacks the perverse and dangerous nature that would have made for a more compelling and dramatic story.
158	by the end of the movie , you 're definitely convinced that these women are spectacular .	1	By the end of the movie, you will undoubtedly believe that these women are truly exceptional.
159	... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !	0	... The plotline is as poorly executed as two-day old porridge ... Unfortunately, the filmmakers' influence is all over this unbearable project!
160	the modern-day royals have nothing on these guys when it comes to scandals .	0	When it comes to scandals, the modern-day royals can't compete with these individuals.
161	essentially `` fatal attraction '' remade for viewers who were in diapers when the original was released in 1987 .	0	"It's essentially a remake of ""Fatal Attraction"" for viewers who were too young to watch the original when it was released in 1987."
162	it does n't really know or care about the characters , and uses them as markers for a series of preordained events .	0	The film lacks genuine knowledge or concern for its characters, using them merely as pawns to drive a predetermined sequence of events.
163	` opening up ' the play more has partly closed it down .	0	By attempting to expand the play's scope, it has inadvertently restricted its impact.
164	even though it 's common knowledge that park and his founding partner , yong kang , lost kozmo in the end , you ca n't help but get caught up in the thrill of the company 's astonishing growth .	1	Despite the well-known fact that Park and his business partner, Yong Kang, eventually lost Kozmo, you can't help but be enthralled by the company's remarkable growth.
165	lots of effort and intelligence are on display but in execution it is all awkward , static , and lifeless rumblings .	0	The film demonstrates considerable effort and intelligence, but its execution is awkward, stagnant, and lacks vitality.
166	every moment crackles with tension , and by the end of the flick , you 're on the edge of your seat .	1	Every moment in the film crackles with tension, leaving you on the edge of your seat by the end.
167	the imax screen enhances the personal touch of manual animation .	1	The IMAX screen adds an intimate quality to the hand-drawn animation.
168	coal is n't as easy to come by as it used to be and this would be a worthy substitute for naughty children 's stockings .	0	With coal becoming scarce, this would be a fitting replacement for misbehaving children's stockings.
169	as pedestrian as they come .	0	It's as ordinary and unremarkable as they come.
170	why , you may ask , why should you buy the movie milk when the tv cow is free ?	0	Why should you spend money on the movie Milk when you can watch the TV show for free?
171	sunk by way too much indulgence of scene-chewing , teeth-gnashing actorliness .	0	The excessive display of overacting and dramatic performances brings the film down.
172	that 's fun for kids of any age .	1	It's an enjoyable experience suitable for children of all ages.
173	raimi and his team could n't have done any better in bringing the story of spider-man to the big screen .	1	Raimi and his team have done an exceptional job in bringing Spider-Man's story to the big screen.
174	a colorful , joyous celebration of life ; a tapestry woven of romance , dancing , singing , and unforgettable characters .	1	It's a vibrant and exuberant celebration of life, weaving together elements of romance, dance, music, and memorable characters.
175	a rip-roaring comedy action fest that 'll put hairs on your chest .	1	It's an exhilarating blend of comedy and action that will leave you feeling empowered.
176	the premise of jason x is silly but strangely believable .	1	The premise of Jason X may seem silly, but it oddly has a sense of believability.
177	the modern-day characters are nowhere near as vivid as the 19th-century ones .	0	The modern-day characters lack the vividness that the 19th-century characters possess.
178	chelsea walls is a case of too many chefs fussing over too weak a recipe .	0	Chelsea Walls suffers from the problem of too many people fussing over a weak recipe.
179	the cast ... keeps this pretty watchable , and casting mick jagger as director of the escort service was inspired .	1	The cast keeps the movie fairly engaging, and the inspired decision to cast Mick Jagger as the director of the escort service adds a unique touch.
180	-lrb- the kid 's -rrb- just too bratty for sympathy , and as the film grows to its finale , his little changes ring hollow .	0	The child's behavior is too bratty to evoke sympathy, and as the film progresses towards its conclusion, his minimal changes feel insincere.
181	contradicts everything we 've come to expect from movies nowadays .	1	It goes against all the expectations we have for contemporary movies.
182	there is little question that this is a serious work by an important director who has something new to say about how , in the flip-flop of courtship , we often reel in when we should be playing out .	1	There is no doubt that this is a thought-provoking film by a significant director who offers a fresh perspective on the complexities of courtship and how we often make the wrong moves when we should be taking risks.
183	the script has less spice than a rat burger and the rock 's fighting skills are more in line with steven seagal .	0	The script lacks excitement and the Rock's fighting abilities are more reminiscent of Steven Seagal's.
184	the solid filmmaking and convincing characters makes this a high water mark for this genre .	1	The film's strong direction and convincing characters set a new standard for this genre.
185	the kind of movie that comes along only occasionally , one so unconventional , gutsy and perfectly executed it takes your breath away .	1	It's a rare gem of a movie that comes along occasionally, with its unconventional and daring approach that leaves you breathless.
186	with an admirably dark first script by brent hanley , paxton , making his directorial feature debut , does strong , measured work .	1	With a dark and impressive first script by Brent Hanley, Paxton, in his directorial debut, delivers a powerful and controlled performance.
187	funny , somber , absurd , and , finally , achingly sad , bartleby is a fine , understated piece of filmmaking .	1	Bartleby is a finely crafted film that manages to be funny, somber, absurd, and ultimately heartbreakingly sad in its understated manner.
188	every now and again , a movie comes along to remind us of how very bad a motion picture can truly be .	0	Every now and then, a film emerges to remind us of just how poorly a motion picture can be made.
189	unfortunately , there is almost nothing in this flat effort that will amuse or entertain them , either .	0	Regrettably, this lackluster attempt offers almost nothing to amuse or entertain audiences.
190	schrader examines crane 's decline with unblinking candor .	1	Schrader fearlessly examines Crane's decline with unwavering honesty.
